Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
l1_i_size/2kB	3.493741	0.060970	0.000241	0.999439
l1_i_size/4kB	3.493393	0.060970	0.000191	0.999622
l1_i_size/8kB	3.493976	0.060970	0.000140	0.999807
l1_i_size/16kB	3.493221	0.060970	0.000114	0.999903
l1_i_size/32kB	3.493201	0.060970	0.000103	0.999940
l1_i_size/64kB	3.493686	0.060970	0.000097	0.999964
l1_i_size/128kB	3.493442	0.060970	0.000091	0.999985
l1_i_size/256kB	3.493442	0.060970	0.000091	0.999985
l1_d_size/2kB	3.493564	0.060975	0.000105	0.999811
l1_d_size/4kB	3.493784	0.060972	0.000105	0.999898
l1_d_size/8kB	3.493201	0.060971	0.000104	0.999931
l1_d_size/16kB	3.493201	0.060971	0.000104	0.999934
l1_d_size/32kB	3.493201	0.060970	0.000103	0.999940
l1_d_size/64kB	3.493201	0.060970	0.000103	0.999940
l1_d_size/128kB	3.493201	0.060970	0.000103	0.999940
l1_d_size/256kB	3.493201	0.060970	0.000103	0.999940
l1_i_assoc/1	3.493659	0.060970	0.000143	0.999797
l1_i_assoc/2	3.493201	0.060970	0.000103	0.999940
l1_i_assoc/4	3.493442	0.060970	0.000093	0.999978
l1_i_assoc/8	3.493442	0.060970	0.000092	0.999981
l1_i_assoc/16	3.493442	0.060970	0.000091	0.999985
l1_d_assoc/1	3.513631	0.061804	0.000103	0.980792
l1_d_assoc/2	3.493201	0.060970	0.000103	0.999940
l1_d_assoc/4	3.493201	0.060970	0.000103	0.999940
l1_d_assoc/8	3.493201	0.060970	0.000103	0.999940
l1_d_assoc/16	3.493201	0.060970	0.000103	0.999940
l2_size/2kB	3.476394	0.060970	0.000103	0.999957
l2_size/4kB	3.478303	0.060970	0.000103	0.999954
l2_size/8kB	3.478274	0.060970	0.000103	0.999950
l2_size/16kB	3.481899	0.060970	0.000103	0.999945
l2_size/32kB	3.485449	0.060970	0.000103	0.999940
l2_size/64kB	3.497727	0.060970	0.000103	0.999940
l2_size/128kB	3.530438	0.060970	0.000103	0.999940
l2_size/256kB	3.497130	0.060970	0.000103	0.999940
l2_size/512kB	3.496668	0.060970	0.000103	0.999940
l2_size/1024kB	3.495705	0.060970	0.000103	0.999940
l2_size/2048kB	3.493201	0.060970	0.000103	0.999940
l2_size/4096kB	3.488973	0.060970	0.000103	0.999940
l2_assoc/1	3.493201	0.060970	0.000103	0.999940
l2_assoc/2	3.493201	0.060970	0.000103	0.999940
l2_assoc/4	3.493201	0.060970	0.000103	0.999940
l2_assoc/8	3.493201	0.060970	0.000103	0.999940
l2_assoc/16	3.493201	0.060970	0.000103	0.999940
cache_line/32	5.607852	0.121939	0.000083	0.999978
cache_line/64	3.493201	0.060970	0.000103	0.999940
cache_line/128	2.581324	0.030486	0.000127	0.999808
cache_line/256	1.990612	0.015244	0.000135	0.999479
cache_line/512	1.704283	0.007623	0.000161	0.998707
cache_line/1024	1.536503	0.003816	0.000155	0.995086
